Age Group,Ward,Count of People
  35 to 39 years,Ward 23,5645
  35 to 39 years,Ward 24,6535
  35 to 39 years,Ward 25,5980
  40 to 44 years,Ward 4,8465
  40 to 44 years,Ward 5,7845
  40 to 44 years,Ward 6,7710
  40 to 44 years,Ward 7,7180
  40 to 44 years,Ward 8,7910
  40 to 44 years,Ward 9,8415
  40 to 44 years,Ward 10,9345
  40 to 44 years,Ward 11,5805
  40 to 44 years,Ward 12,7505
  40 to 44 years,Ward 13,7635
  40 to 44 years,Ward 14,8915
  40 to 44 years,Ward 15,6565
  40 to 44 years,Ward 16,6250
  40 to 44 years,Ward 17,6975
  40 to 44 years,Ward 18,7880
  40 to 44 years,Ward 19,8915
  40 to 44 years,Ward 20,7500
  40 to 44 years,Ward 21,6685
  40 to 44 years,Ward 22,5655
  40 to 44 years,Ward 23,5185
  40 to 44 years,Ward 24,6410
  40 to 44 years,Ward 25,5660
  45 to 49 years,Ward 4,7925
  45 to 49 years,Ward 5,7325
  45 to 49 years,Ward 6,7305
  45 to 49 years,Ward 7,6605
  45 to 49 years,Ward 8,7955
  45 to 49 years,Ward 9,7045
  45 to 49 years,Ward 10,6630
  45 to 49 years,Ward 11,5405
  45 to 49 years,Ward 12,7130
  45 to 49 years,Ward 13,6535
  45 to 49 years,Ward 14,7935
  45 to 49 years,Ward 15,7075
  45 to 49 years,Ward 16,6095
  45 to 49 years,Ward 17,6740
  45 to 49 years,Ward 18,7455
  45 to 49 years,Ward 19,8010
  45 to 49 years,Ward 20,7370
  45 to 49 years,Ward 21,6905
  45 to 49 years,Ward 22,6010
  45 to 49 years,Ward 23,5350
  45 to 49 years,Ward 24,6200
  45 to 49 years,Ward 25,6200
  50 to 54 years,Ward 4,7345
  50 to 54 years,Ward 5,7970
  50 to 54 years,Ward 6,7515
  50 to 54 years,Ward 7,7685
  50 to 54 years,Ward 8,8195
  50 to 54 years,Ward 9,6660
  50 to 54 years,Ward 10,5580
  50 to 54 years,Ward 11,5805
  50 to 54 years,Ward 12,6970
  50 to 54 years,Ward 13,6850
  50 to 54 years,Ward 14,7405
  50 to 54 years,Ward 15,7895
  50 to 54 years,Ward 16,6470
  50 to 54 years,Ward 17,7265
  50 to 54 years,Ward 18,7660
  50 to 54 years,Ward 19,8140
  50 to 54 years,Ward 20,8010
  50 to 54 years,Ward 21,7490
  50 to 54 years,Ward 22,6955
  50 to 54 years,Ward 23,6475
  50 to 54 years,Ward 24,6765
  50 to 54 years,Ward 25,6640
  55 to 59 years,Ward 4,7010
